,Semana,Amarela,Branca,Indígena,Parda,Preta,Total,Semana_Num,Data,Data_Simp
0,SE_20 12,2.0,51.0,0.0,5.0,2.0,60.0,12,Mon Mar 23 00:00:00 2020,23/03/2020
1,SE_20 13,12.0,229.0,1.0,42.0,17.0,301.0,13,Mon Mar 30 00:00:00 2020,30/03/2020
2,SE_20 14,28.0,591.0,1.0,168.0,71.0,859.0,14,Mon Apr  6 00:00:00 2020,06/04/2020
3,SE_20 15,45.0,1028.0,3.0,339.0,135.0,1550.0,15,Mon Apr 13 00:00:00 2020,13/04/2020
4,SE_20 16,64.0,1470.0,3.0,526.0,190.0,2253.0,16,Mon Apr 20 00:00:00 2020,20/04/2020
5,SE_20 17,92.0,1971.0,4.0,733.0,268.0,3068.0,17,Mon Apr 27 00:00:00 2020,27/04/2020
6,SE_20 18,116.0,2605.0,4.0,1016.0,370.0,4111.0,18,Mon May  4 00:00:00 2020,04/05/2020
7,SE_20 19,146.0,3220.0,6.0,1317.0,456.0,5145.0,19,Mon May 11 00:00:00 2020,11/05/2020
8,SE_20 20,164.0,3905.0,7.0,1615.0,576.0,6267.0,20,Mon May 18 00:00:00 2020,18/05/2020
9,SE_20 21,183.0,4573.0,8.0,1940.0,661.0,7365.0,21,Mon May 25 00:00:00 2020,25/05/2020
10,SE_20 22,202.0,5260.0,8.0,2210.0,768.0,8448.0,22,Mon Jun  1 00:00:00 2020,01/06/2020
11,SE_20 23,224.0,5914.0,9.0,2472.0,885.0,9504.0,23,Mon Jun  8 00:00:00 2020,08/06/2020
12,SE_20 24,248.0,6572.0,10.0,2742.0,997.0,10569.0,24,Mon Jun 15 00:00:00 2020,15/06/2020
13,SE_20 25,263.0,7127.0,11.0,2951.0,1093.0,11445.0,25,Mon Jun 22 00:00:00 2020,22/06/2020
14,SE_20 26,279.0,7613.0,11.0,3126.0,1170.0,12199.0,26,Mon Jun 29 00:00:00 2020,29/06/2020
15,SE_20 27,300.0,8038.0,11.0,3282.0,1245.0,12876.0,27,Mon Jul  6 00:00:00 2020,06/07/2020
16,SE_20 28,311.0,8477.0,11.0,3432.0,1304.0,13535.0,28,Mon Jul 13 00:00:00 2020,13/07/2020
17,SE_20 29,330.0,8918.0,12.0,3574.0,1373.0,14207.0,29,Mon Jul 20 00:00:00 2020,20/07/2020
18,SE_20 30,335.0,9325.0,12.0,3722.0,1435.0,14829.0,30,Mon Jul 27 00:00:00 2020,27/07/2020
19,SE_20 31,348.0,9679.0,12.0,3849.0,1477.0,15365.0,31,Mon Aug  3 00:00:00 2020,03/08/2020
20,SE_20 32,366.0,10057.0,12.0,3991.0,1518.0,15944.0,32,Mon Aug 10 00:00:00 2020,10/08/2020
21,SE_20 33,377.0,10387.0,12.0,4120.0,1569.0,16465.0,33,Mon Aug 17 00:00:00 2020,17/08/2020
22,SE_20 34,388.0,10669.0,12.0,4224.0,1612.0,16905.0,34,Mon Aug 24 00:00:00 2020,24/08/2020
23,SE_20 35,399.0,10969.0,12.0,4312.0,1639.0,17331.0,35,Mon Aug 31 00:00:00 2020,31/08/2020
24,SE_20 36,410.0,11207.0,12.0,4392.0,1674.0,17695.0,36,Mon Sep  7 00:00:00 2020,07/09/2020
25,SE_20 37,421.0,11446.0,13.0,4477.0,1705.0,18062.0,37,Mon Sep 14 00:00:00 2020,14/09/2020
26,SE_20 38,427.0,11657.0,13.0,4542.0,1739.0,18378.0,38,Mon Sep 21 00:00:00 2020,21/09/2020
27,SE_20 39,432.0,11821.0,14.0,4595.0,1766.0,18628.0,39,Mon Sep 28 00:00:00 2020,28/09/2020
28,SE_20 40,437.0,11997.0,14.0,4649.0,1789.0,18886.0,40,Mon Oct  5 00:00:00 2020,05/10/2020
29,SE_20 41,441.0,12135.0,14.0,4705.0,1808.0,19103.0,41,Mon Oct 12 00:00:00 2020,12/10/2020
30,SE_20 42,447.0,12241.0,14.0,4752.0,1828.0,19282.0,42,Mon Oct 19 00:00:00 2020,19/10/2020
31,SE_20 43,451.0,12333.0,14.0,4783.0,1846.0,19427.0,43,Mon Oct 26 00:00:00 2020,26/10/2020
32,SE_20 44,457.0,12438.0,14.0,4820.0,1855.0,19584.0,44,Mon Nov  2 00:00:00 2020,02/11/2020
33,SE_20 45,459.0,12543.0,15.0,4856.0,1869.0,19742.0,45,Mon Nov  9 00:00:00 2020,09/11/2020
34,SE_20 46,465.0,12680.0,15.0,4898.0,1885.0,19943.0,46,Mon Nov 16 00:00:00 2020,16/11/2020
35,SE_20 47,475.0,12839.0,15.0,4946.0,1901.0,20176.0,47,Mon Nov 23 00:00:00 2020,23/11/2020
36,SE_20 48,484.0,13031.0,15.0,4997.0,1931.0,20458.0,48,Mon Nov 30 00:00:00 2020,30/11/2020
37,SE_20 49,492.0,13259.0,15.0,5073.0,1958.0,20797.0,49,Mon Dec  7 00:00:00 2020,07/12/2020
38,SE_20 50,503.0,13521.0,16.0,5139.0,1998.0,21177.0,50,Mon Dec 14 00:00:00 2020,14/12/2020
39,SE_20 51,514.0,13822.0,16.0,5223.0,2037.0,21612.0,51,Mon Dec 21 00:00:00 2020,21/12/2020
40,SE_20 52,529.0,14106.0,16.0,5303.0,2081.0,22035.0,52,Mon Dec 28 00:00:00 2020,28/12/2020
